timestamp,location,latitude,longitude,rainfall_mm,temperature_c,humidity_percent,wind_speed_kmh,season,data_source,scenario,note
2023-01-01T00:00:00,Guwahati,26.18,91.75,11.283554616280421,20.870284600370553,90.9838148258584,11.13147898376959,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-01T00:00:00,Nagaon,26.15,92.72,9.589058994457794,19.52667456777734,67.32594661412615,11.789989272074608,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-01T00:00:00,Lumding,25.28,92.84,35.445030013276835,21.033829742813317,65.0171271815025,16.843330854958342,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-01T00:00:00,Silchar,24.82,92.8,13.991253798653581,25.875807791505125,80.43783438172566,23.208526825284345,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-02T00:00:00,Guwahati,26.18,91.75,20.310365759925812,20.960172721424918,74.346435983383,29.898255159256042,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-02T00:00:00,Nagaon,26.15,92.72,25.01922959716623,18.524540517731314,76.64923128598622,8.348015823641145,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-02T00:00:00,Lumding,25.28,92.84,29.89569013378538,20.691806349470397,68.11586213811539,25.634247453856435,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-02T00:00:00,Silchar,24.82,92.8,17.61891922134328,19.82624018703351,69.48919618776868,10.125280859287232,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-03T00:00:00,Guwahati,26.18,91.75,9.233354313269471,21.15113564409637,93.0425096136058,23.5511342682631,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-03T00:00:00,Nagaon,26.15,92.72,16.03317356896676,19.516883936597818,74.80458475998658,29.120124442632022,DRY,HISTORICAL,HISTORICAL,Historical data
2023-01-03T00:00:00,Lumding,25.28,92.84,26.78216252985706,19.7984434340531,90.22333752706183,17.509858527662658,DRY,HISTORICAL,HISTORICAL,Historical data
